brand,milage,fuel_type,transmission,accident,clean_title,price,Age,price_category,Horsepower,Engine_Displacement,base_model
4,27158.0,3,1,0,0,39998.0,4,1,332.2838386995936,2.0,61
9,139804.0,3,1,1,1,14500.0,10,0,195.0,4.3,138
22,27300.0,3,1,0,1,47500.0,2,1,285.0,3.6,282
4,36812.0,3,1,0,1,27000.0,10,1,240.0,2.0,91
26,144000.0,3,1,1,1,18000.0,8,0,340.0,3.0,308
8,44500.0,3,1,0,1,28900.0,5,1,237.0,2.0,124
4,10917.0,3,1,0,0,73998.0,3,2,332.2838386995936,4.4,67
5,8332.0,3,1,0,1,47350.0,19,1,400.0,6.75,94
28,51247.0,3,1,0,0,47698.0,4,1,332.2838386995936,3.0,323
44,147834.0,3,1,0,1,32662.0,3,1,332.2838386995936,3.6,447
14,105000.0,1,1,1,1,6600.0,11,0,300.0,3.7,211
3,92203.0,3,1,0,1,9995.0,13,0,211.0,2.0,16
39,15600.0,3,1,0,1,69500.0,14,2,485.0,3.8,411
26,104700.0,3,1,1,0,30775.0,6,1,332.2838386995936,0.0,308
53,72348.0,3,1,1,1,9995.0,14,0,132.0,1.8,477
36,13177.0,3,1,0,0,44798.0,2,1,332.2838386995936,2.0,369
43,96000.0,5,1,1,1,23000.0,8,1,416.0,3.0,439
9,93009.0,1,1,0,1,22495.0,13,1,332.2838386995936,5.3,138
20,52750.0,4,1,1,1,28998.0,8,1,360.0,3.5,262
3,25361.0,4,1,0,0,49998.0,4,1,332.2838386995936,3.0,18
3,98527.0,3,1,0,0,9995.0,9,0,280.0,3.0,23
10,87305.0,7,1,0,1,9000.0,7,0,332.2838386995936,0.0,156
3,72922.0,3,1,0,0,25999.0,12,1,265.0,2.0,37
4,41000.0,3,1,0,1,30000.0,9,1,445.0,4.4,64
50,42125.0,3,3,0,1,27899.0,3,1,332.2838386995936,2.5,464
36,62000.0,3,1,0,1,40000.0,8,1,469.0,4.0,368
26,153843.0,3,1,1,1,9950.0,18,0,300.0,4.4,308
4,35248.0,3,1,0,0,53998.0,5,2,332.2838386995936,3.0,89
14,194454.0,3,1,0,1,9888.0,9,0,169.0,2.5,208
27,21000.0,3,1,0,1,89999.0,3,2,383.0,5.7,318
43,18494.0,3,2,0,0,86900.0,11,2,400.0,3.8,436
39,67800.0,3,1,1,1,36500.0,3,1,400.0,5.6,408
43,79000.0,3,1,1,1,42999.0,10,1,275.0,2.7,440
36,24906.0,4,1,0,0,63998.0,2,2,332.2838386995936,3.0,383
9,66840.0,3,1,1,1,12000.0,18,0,303.0,5.3,141
19,654.0,3,1,0,1,34599.0,1,1,332.2838386995936,2.0,246
9,75000.0,3,1,0,1,12500.0,19,0,240.0,3.8,141
26,84000.0,3,1,1,1,22800.0,9,1,240.0,2.0,308
3,52500.0,3,1,0,1,39999.0,7,1,450.0,4.0,31
15,120000.0,3,1,0,1,7500.0,13,0,288.0,3.6,212
1,18665.0,3,1,0,1,35645.0,4,1,332.2838386995936,2.0,12
24,36486.0,3,1,1,1,23950.0,7,1,420.0,5.0,294
14,162100.0,1,1,0,1,12500.0,11,0,255.0,5.4,185
52,13079.0,2,1,0,1,47000.0,2,1,455.0,0.0,470
53,28377.0,3,1,0,0,36999.0,2,1,332.2838386995936,4.0,471
50,32744.0,3,3,0,1,24000.0,4,1,182.0,2.5,464
43,54000.0,3,1,1,1,26000.0,12,1,300.0,3.6,442
44,65000.0,0,1,0,1,65000.0,5,2,370.0,6.7,445
24,9686.0,3,1,0,1,30990.0,2,1,332.2838386995936,2.4,300
8,49620.0,3,1,0,1,10499.0,14,0,275.0,4.6,117
27,820.0,3,1,0,0,51998.0,1,2,332.2838386995936,2.4,319
3,68000.0,3,1,0,1,36499.0,3,1,248.0,2.0,23
15,27352.0,3,1,0,0,27785.0,2,1,332.2838386995936,1.5,218
14,129000.0,3,1,1,1,7000.0,12,0,171.0,2.5,190
27,106731.0,3,1,1,1,30000.0,10,1,360.0,4.6,317
14,34672.0,3,1,0,1,45500.0,5,1,400.0,3.5,192
9,55900.0,3,1,0,1,8950.0,14,0,252.0,3.6,140
3,3158.0,3,1,0,0,128900.0,1,2,332.2838386995936,4.0,26
3,82000.0,3,1,0,1,17000.0,9,0,220.0,2.0,16
16,4785.0,3,1,0,1,42850.0,1,1,332.2838386995936,2.0,220
9,20497.0,3,1,0,0,22999.0,3,1,332.2838386995936,1.3,148
49,177600.0,3,1,1,1,7100.0,11,0,180.0,2.5,458
28,78568.0,4,1,0,1,15500.0,10,0,188.0,2.0,331
14,95000.0,1,1,0,1,43000.0,6,1,275.0,3.7,210
43,4529.0,3,1,0,1,417500.0,6,2,332.2838386995936,3.8,436
14,25240.0,3,1,1,0,39951.0,3,1,332.2838386995936,2.3,193
55,88300.0,3,1,1,1,11500.0,13,0,235.0,3.2,523
9,98000.0,1,1,1,1,27499.0,11,1,320.0,5.3,129
3,20675.0,3,1,0,1,76000.0,6,2,400.0,2.5,36
28,95000.0,3,1,0,1,10900.0,16,0,300.0,5.4,334
19,107000.0,3,1,1,1,6250.0,14,0,138.0,2.0,242
3,60000.0,3,1,1,1,24700.0,8,1,354.0,3.0,33
38,33000.0,3,2,0,1,34999.0,12,1,291.0,2.0,399
52,500.0,2,1,0,1,60000.0,1,2,455.0,0.0,470
36,74422.0,3,1,0,0,44798.0,6,1,332.2838386995936,4.7,385
9,55621.0,3,1,0,0,34562.0,5,1,332.2838386995936,3.6,130
34,46707.0,3,1,1,1,32541.0,3,1,332.2838386995936,2.5,356
14,26500.0,3,1,0,1,65900.0,2,2,440.0,3.5,192
39,10001.0,3,1,0,1,47214.0,4,1,332.2838386995936,5.6,424
27,19050.0,3,1,0,1,76900.0,5,2,383.0,5.7,318
9,52000.0,3,1,0,1,35800.0,4,1,310.0,3.6,149
36,65000.0,0,1,1,1,54999.0,10,2,188.0,3.0,395
4,140000.0,3,1,0,1,6730.0,20,0,225.0,3.0,87
14,75600.0,3,1,1,1,14950.0,6,0,181.0,1.5,200
28,117292.0,3,1,0,1,12000.0,9,0,240.0,2.0,331
14,1897.0,3,2,0,0,429998.0,19,2,332.2838386995936,5.4,201
16,26000.0,3,1,0,1,33600.0,7,1,420.0,5.0,222
27,2071.0,3,1,0,0,99950.0,2,2,332.2838386995936,5.0,316
14,15629.0,3,2,0,0,61900.0,10,2,332.2838386995936,5.8,205
48,15020.0,3,1,0,1,18500.0,16,0,173.0,2.4,455
