iter	MultiClass
324	0.2853376779
325	0.2851825253
326	0.2845778726
327	0.2844096755
328	0.2836635931
329	0.2834292173
330	0.2831346393
331	0.2829328304
332	0.2826647858
333	0.2820681361
334	0.2819064523
335	0.2815236549
336	0.2812654802
337	0.2809080577
338	0.2806356661
339	0.2803029141
340	0.2801816968
341	0.2799233634
342	0.2796718066
343	0.2794045549
344	0.279062142
345	0.2787151748
346	0.2784187485
347	0.2781726273
348	0.2779379171
349	0.2777419067
350	0.277473101
351	0.2769096874
352	0.2763256291
353	0.2760041278
354	0.2756316225
355	0.2754196206
356	0.2750842121
357	0.2746302988
358	0.2743311181
359	0.2740615225
360	0.2739170422
361	0.2736376676
362	0.2734164383
363	0.2731670273
364	0.2728756689
365	0.2726829337
366	0.2725081305
367	0.2723362624
368	0.2719971992
369	0.2717354604
370	0.2714422789
371	0.2712443741
372	0.2710513539
373	0.2707913295
374	0.2705415541
375	0.2703316458
376	0.2701551897
377	0.2698087259
378	0.2694873807
379	0.2691839988
380	0.2689218767
381	0.2686726254
382	0.2685131214
383	0.2683497246
384	0.2680234229
385	0.2675747678
386	0.2672404553
387	0.2668027841
388	0.2665049411
389	0.2661770867
390	0.2657970537
391	0.2656137813
392	0.2653744792
393	0.2651756256
394	0.2648379383
395	0.2646425998
396	0.264516708
397	0.2643731082
398	0.2641923611
399	0.264055582
400	0.2638344058
401	0.2635781476
402	0.2634148731
403	0.2630316727
404	0.2626531735
405	0.2624373024
406	0.2620804915
407	0.261966956
408	0.2614361681
409	0.26107689
410	0.2607316068
411	0.260561872
412	0.2602355276
413	0.2600638209
414	0.2599265028
415	0.2597050573
416	0.2594143269
417	0.2591630711
418	0.2588262027
419	0.2585913901
420	0.2584203134
421	0.2582964045
422	0.258011544
423	0.2576333536
424	0.2574300558
425	0.2572854889
426	0.2570821358
427	0.2568876383
428	0.2564208483
429	0.2561106592
430	0.2557589752
431	0.2554284928
432	0.2550780034
433	0.2547059032
434	0.2543425428
435	0.2541160512
436	0.254022126
437	0.2538081884
438	0.2535859447
439	0.2532479127
440	0.2531464247
441	0.2529364595
442	0.252724669
443	0.2525512335
444	0.2522694641
445	0.2518978379
446	0.251724448
447	0.2514703816
448	0.2511946902
449	0.2509742607
450	0.2506604261
451	0.2504144494
452	0.2502086651
453	0.24991157
454	0.2497091181
455	0.2495881231
456	0.2491937299
457	0.2490726567
458	0.2488890613
459	0.2486573373
460	0.2485344554
461	0.2483366161
462	0.2481619881
463	0.2479417395
464	0.2476686284
465	0.2474842518
466	0.2473391595
467	0.2472000327
468	0.2470338243
469	0.2467151134
470	0.2466042144
471	0.2464698313
472	0.2462212023
473	0.2459934389
474	0.2458004689
475	0.2455119466
476	0.2452207522
477	0.24492544
478	0.2448219959
479	0.2446953087
480	0.2446166426
481	0.2445047865
482	0.2442263648
483	0.2441365997
484	0.2438657794
485	0.2436872559
486	0.2433859352
487	0.2433165156
488	0.2430068404
489	0.2427747519
490	0.2426301759
491	0.2424135536
492	0.2422461093
493	0.2419873563
494	0.2417679136
495	0.2414768728
496	0.2412933102
497	0.2410045046
498	0.2407964896
499	0.240734225
500	0.2403535108
501	0.2401341214
502	0.239871582
503	0.2396065261
504	0.2393831835
505	0.2391401408
506	0.2388275678
507	0.2386045615
508	0.2384298128
509	0.2382855429
510	0.2380918147
511	0.2379430818
512	0.2377908079
513	0.2376969673
514	0.2376015836
515	0.2373042205
516	0.2369649112
517	0.2366949322
518	0.2361322006
519	0.2359571768
520	0.2357593975
521	0.2355084931
522	0.2352729504
523	0.2350707295
524	0.2346322113
525	0.2345011488
526	0.2343785826
527	0.2341480107
528	0.2339053055
529	0.2337872436
530	0.2335078981
531	0.2333489258
532	0.2331904706
533	0.2330053329
534	0.2328352449
535	0.2325203071
536	0.2323146891
537	0.2320848139
538	0.231865724
539	0.2316640197
540	0.2314761814
541	0.2312136937
542	0.2310971069
543	0.2309208428
544	0.2307109231
545	0.2304912035
546	0.2302855414
547	0.2300139181
548	0.2297526567
549	0.2294907348
550	0.2293793306
551	0.2291497824
552	0.2290028966
553	0.2289131282
554	0.2287867829
555	0.2285832513
556	0.2283784275
557	0.2281063449
558	0.2278961507
559	0.2277428768
560	0.2274885265
561	0.2272418051
562	0.2270547834
563	0.2268963421
564	0.2267410876
565	0.2264862637
566	0.2262918941
567	0.2261268558
568	0.2259812398
569	0.2256645518
570	0.2254822078
571	0.22534886
572	0.2250079905
573	0.2248200702
574	0.2246382919
575	0.2244193633
576	0.2242423851
577	0.2240690582
578	0.223879748
579	0.2237427965
580	0.2235533651
581	0.2233598605
582	0.2231464011
583	0.2229360245
584	0.2228228524
585	0.2226197377
586	0.2224637877
587	0.2221849567
588	0.2220574151
589	0.2218580974
590	0.2217608637
591	0.2213897908
592	0.2212844668
593	0.2210146192
594	0.2208085006
595	0.2206552649
596	0.2204505978
597	0.2203720923
598	0.2202377046
599	0.2200747419
600	0.2199601545
601	0.2197825527
602	0.2196379973
603	0.2194988954
604	0.2192419737
605	0.2189523553
606	0.2188979243
607	0.2186743432
608	0.2185463139
609	0.2183137482
610	0.2181781624
611	0.2180532394
612	0.2178466435
613	0.2177378343
614	0.2175568178
615	0.2173595378
616	0.2172463081
617	0.2171003448
618	0.2169700338
619	0.2167999051
620	0.2165314865
621	0.2164008748
622	0.216242592
623	0.2160433855
624	0.2159681382
625	0.2156422926
626	0.2153767541
627	0.2151972875
628	0.2150882287
629	0.2148899673
630	0.214787643
631	0.2146974483
632	0.2146010053
633	0.2145037384
634	0.2143602921
635	0.2141425939
636	0.2140154568
637	0.2139529112
638	0.2136864342
639	0.2136375991
640	0.2133497033
641	0.2131353267
642	0.2130081796
643	0.2129071667
644	0.2128122915
645	0.212700561
646	0.2125809422
647	0.2124519119
648	0.2122950996
649	0.2121647987
650	0.2120637492
651	0.2118741905
652	0.2115708726
653	0.2114136159
654	0.2112752306
655	0.2110717307
656	0.2109282532
657	0.2108431039
658	0.21063093
659	0.2104517326
660	0.2102454959
661	0.2099792065
662	0.2097739787
663	0.2095816895
664	0.2095130189
665	0.2092790078
666	0.2089174427
667	0.2087941552
668	0.2086873609
669	0.2084903125
670	0.2083099332
671	0.20816865
672	0.2080768056
673	0.207934196
674	0.2076618526
675	0.2075025632
676	0.207290838
677	0.2071039369
678	0.2069619258
679	0.2068933105
680	0.2067653335
681	0.2066102392
682	0.206417677
683	0.2062927652
684	0.2061014762
685	0.2059818487
686	0.2057885904
687	0.2056795328
688	0.2054962536
689	0.2054240343
690	0.2052404898
691	0.2051606646
692	0.2050970816
693	0.2049856839
694	0.2047198768
695	0.2045887392
696	0.2044300429
697	0.2043347579
698	0.2042612963
699	0.2040825516
700	0.20384376
701	0.2037495955
702	0.2036253839
703	0.2034442723
704	0.2032408537
705	0.2030847662
706	0.2028763323
707	0.2026074637
708	0.202431658
709	0.2023183205
710	0.2022024842
711	0.2020380886
712	0.2019404505
713	0.2017878885
714	0.2015307557
715	0.201405459
716	0.2013082311
717	0.2010975444
718	0.2009180352
719	0.2008199053
720	0.200727216
721	0.2005836426
722	0.200516004
723	0.2003713094
724	0.2001073209
725	0.1999656225
726	0.1998605661
727	0.1997163302
728	0.1995500801
729	0.1993281814
730	0.1991559448
731	0.1990530917
732	0.1989238805
733	0.1987799187
734	0.1985581677
735	0.1984327719
736	0.1983285934
737	0.198226285
738	0.1980757317
739	0.1979400227
740	0.1977917944
741	0.1975758169
742	0.1973772256
743	0.1972038393
744	0.1970586886
745	0.1969788285
746	0.1968874211
747	0.1966485352
748	0.1964233007
749	0.1962299473
750	0.1960869423
751	0.195969347
752	0.1958123969
753	0.1957033601
754	0.1955769337
755	0.1954843064
756	0.1953988093
757	0.1951811045
758	0.1949545448
759	0.1947796744
760	0.1946608187
761	0.1945458076
762	0.1944697927
763	0.1943931681
764	0.1943390982
765	0.1942191005
766	0.194131636
767	0.1939414837
768	0.1938282625
769	0.1937143884
770	0.1935229599
771	0.1933807642
772	0.1932675177
773	0.1931283398
774	0.192978568
775	0.1928895491
776	0.1927437957
777	0.1926164168
778	0.1925150227
779	0.1924060324
780	0.1922342989
781	0.1921244165
782	0.191940821
783	0.1916974068
784	0.1915973374
785	0.1914703711
786	0.1912442158
787	0.1910865758
788	0.1909533439
789	0.1907800071
790	0.1906803251
791	0.1904131549
792	0.1902105618
793	0.1901408464
794	0.1900631735
795	0.1899065064
796	0.189695619
797	0.1895790223
798	0.1893614317
799	0.1892336466
800	0.1890791668
801	0.1890068321
802	0.1888660635
803	0.188700797
804	0.1885069517
805	0.1883934002
806	0.1882408704
807	0.1880637936
808	0.1878845612
809	0.1877583559
810	0.1875915288
811	0.1874924313
812	0.1874287348
813	0.1872766482
814	0.1871867056
815	0.187061411
816	0.1869431217
817	0.186808955
818	0.1867605213
819	0.1865080585
820	0.186422516
821	0.1862878426
822	0.186186788
823	0.1861237894
824	0.1860268306
825	0.1858625158
826	0.1857137476
827	0.1856099117
828	0.1854188509
829	0.1853319944
830	0.1852442468
831	0.1851712931
832	0.1850271818
833	0.1849710388
834	0.1848645655
835	0.1847649431
836	0.1846558109
837	0.1845146469
838	0.1844056791
839	0.1843077281
840	0.1841525388
841	0.1839686436
842	0.1839217817
843	0.1837403779
844	0.1835899872
845	0.1834711976
846	0.1833672923
847	0.183290548
848	0.1831733246
849	0.1830609517
850	0.1828974908
851	0.1827057614
852	0.1826178303
853	0.1825152271
854	0.1823827327
855	0.1822182307
856	0.1821332266
857	0.1820099261
858	0.1819151856
859	0.1817071488
860	0.1815822719
861	0.1814698577
862	0.1812193754
863	0.1811255202
864	0.181015466
865	0.1808406483
866	0.1807252827
867	0.1806365805
868	0.1805178724
869	0.1804115916
870	0.1803564784
871	0.1802751444
872	0.1801669979
873	0.1799826554
874	0.1798413168
875	0.1797311067
876	0.1796015315
877	0.1794530877
878	0.17934829
879	0.1792992733
880	0.1791511677
881	0.1790845427
882	0.1790128471
883	0.178863195
884	0.1788147983
885	0.1787343391
886	0.1785132994
887	0.1783837493
888	0.1782903759
889	0.1782131334
890	0.1781109258
891	0.1780426822
892	0.1779717586
893	0.1778002551
894	0.1777004788
895	0.1776354298
896	0.1775681818
897	0.1774537911
898	0.1773754317
899	0.1773205252
900	0.1771877553
901	0.17698118
902	0.1768535809
903	0.176711429
904	0.1765682956
905	0.1764671992
906	0.1763700503
907	0.1762245413
908	0.1760687664
909	0.1759613118
910	0.1758806374
911	0.1758008506
912	0.1756628393
913	0.1755464779
914	0.1754106833
915	0.1753454636
916	0.1752472331
917	0.175122217
918	0.1750060435
919	0.1748440145
920	0.1747170981
921	0.1745789793
922	0.1743767891
923	0.17420269
924	0.1741076977
925	0.173938742
926	0.1738609817
927	0.1737768044
928	0.1736490181
929	0.173516508
930	0.1734188416
931	0.1733616933
932	0.1731109352
933	0.1730529189
934	0.1729800307
935	0.1729711802
936	0.1727795964
937	0.1727212773
938	0.1726397328
939	0.1725691355
940	0.1724792743
941	0.1723626799
942	0.1722696543
943	0.1721243439
944	0.1719967683
945	0.171844665
946	0.1717159075
947	0.1715895562
948	0.1714868496
949	0.1712939395
950	0.1711668288
951	0.171071163
952	0.1709860677
953	0.1708996623
954	0.1708033721
955	0.1706923006
956	0.1705416672
957	0.1704419839
958	0.1702091052
959	0.1700781154
960	0.1700159559
961	0.1699392725
962	0.1698407219
963	0.1696924766
964	0.169551599
965	0.1694873505
966	0.1693961184
967	0.1693140273
968	0.169208788
969	0.169133072
970	0.1690298873
971	0.1689511621
972	0.1688958317
973	0.1688292006
974	0.168684109
975	0.1685669377
976	0.1684562213
977	0.1682760492
978	0.1681852909
979	0.1680816266
980	0.1680029853
981	0.1679707722
982	0.1678513344
983	0.1677671316
984	0.1677302192
985	0.167630913
986	0.1675533943
987	0.1674697455
988	0.1674025081
989	0.1673303037
990	0.1672625472
991	0.1671433524
992	0.1670940572
993	0.1669726695
994	0.1668715449
995	0.1667655217
996	0.1666557529
997	0.1664964997
998	0.1663875938
999	0.1662815937
