iter	Passed	Remaining
0	72	72298
1	74	37400
2	77	25805
3	79	19894
4	82	16386
5	84	14010
6	86	12331
7	89	11098
8	91	10106
9	94	9326
10	96	8669
11	98	8133
12	101	7686
13	103	7286
14	106	6986
15	108	6695
16	111	6437
17	113	6203
18	115	5986
19	118	5808
20	120	5630
21	123	5480
22	125	5342
23	128	5209
24	130	5096
25	133	4988
26	135	4886
27	137	4789
28	140	4705
29	143	4626
30	145	4547
31	148	4487
32	150	4416
33	153	4352
34	155	4296
35	158	4238
36	160	4187
37	163	4138
38	166	4092
39	168	4047
40	171	4004
41	173	3961
42	176	3927
43	178	3884
44	181	3847
45	183	3811
46	186	3776
47	188	3742
48	191	3707
49	193	3681
50	196	3657
51	199	3631
52	201	3607
53	204	3578
54	206	3553
55	209	3529
56	212	3507
57	214	3482
58	216	3457
59	219	3435
60	221	3414
61	224	3398
62	227	3376
63	229	3354
64	231	3334
65	234	3312
66	236	3296
67	239	3277
68	241	3258
69	243	3239
70	246	3220
71	248	3203
72	250	3185
73	253	3169
74	255	3154
75	258	3137
76	260	3120
77	262	3102
78	264	3086
79	266	3070
80	269	3054
81	271	3041
82	273	3027
83	276	3016
84	279	3003
85	281	2995
86	284	2985
87	286	2973
88	289	2961
89	291	2948
90	294	2937
91	296	2925
92	298	2914
93	301	2903
94	303	2890
95	305	2879
96	308	2867
97	310	2855
98	312	2847
99	315	2837
100	317	2828
101	319	2816
102	322	2805
103	324	2796
104	326	2786
105	329	2777
106	331	2767
107	333	2756
108	336	2749
109	338	2739
110	341	2732
111	343	2723
112	345	2714
113	348	2707
114	350	2698
115	352	2689
116	355	2680
117	357	2670
118	359	2661
119	361	2653
120	364	2645
121	366	2637
122	368	2630
123	371	2622
124	373	2615
125	375	2607
126	378	2600
127	380	2594
128	383	2588
129	385	2581
130	388	2574
131	390	2569
132	393	2564
133	395	2558
134	398	2552
135	401	2547
136	403	2540
137	405	2533
138	408	2527
139	410	2520
140	413	2516
141	415	2510
142	418	2506
143	420	2499
144	422	2492
145	425	2488
146	427	2481
147	430	2476
148	432	2469
149	434	2464
150	437	2458
151	439	2452
152	441	2446
153	444	2439
154	446	2433
155	448	2428
156	451	2422
157	453	2416
158	456	2412
159	458	2407
160	461	2403
161	463	2397
162	466	2393
163	468	2387
164	470	2381
165	472	2375
166	475	2369
167	477	2363
168	479	2358
169	481	2352
170	484	2346
171	486	2341
172	488	2335
173	490	2329
174	493	2324
175	495	2320
176	498	2315
177	500	2310
178	502	2305
179	504	2299
180	507	2295
181	509	2290
182	512	2286
183	514	2281
184	516	2276
185	519	2272
186	521	2267
187	523	2261
188	526	2257
189	528	2252
190	531	2249
191	533	2243
192	535	2239
193	537	2234
194	540	2230
195	542	2226
196	545	2221
197	547	2217
198	549	2212
199	551	2207
200	554	2203
201	556	2198
202	559	2194
203	561	2189
204	563	2184
205	565	2181
206	568	2176
207	570	2172
208	572	2167
209	575	2163
210	577	2159
211	579	2155
212	582	2150
213	584	2147
214	586	2142
215	589	2138
216	591	2134
217	593	2130
218	596	2126
219	598	2122
220	601	2118
221	603	2114
222	605	2111
223	608	2107
224	610	2103
225	613	2100
226	615	2096
227	617	2091
228	620	2087
229	622	2083
230	624	2079
231	626	2074
232	628	2070
233	631	2066
234	633	2062
235	635	2058
236	638	2054
237	640	2050
238	643	2047
239	645	2043
240	647	2039
241	649	2035
242	652	2031
243	654	2027
244	656	2024
245	659	2020
246	661	2016
247	663	2012
248	666	2009
249	668	2005
250	670	2001
251	673	1998
252	675	1994
253	678	1991
254	680	1987
255	682	1983
256	685	1980
257	687	1976
258	689	1972
259	691	1969
260	694	1966
261	696	1963
262	699	1959
263	701	1956
264	703	1952
265	706	1948
266	708	1945
267	710	1941
268	713	1938
269	715	1935
270	718	1931
271	720	1928
272	722	1924
273	725	1921
274	727	1917
275	729	1914
276	732	1911
277	734	1907
278	737	1904
279	739	1900
280	741	1897
281	743	1894
282	746	1890
283	748	1887
284	750	1883
285	753	1879
286	755	1876
287	757	1872
288	759	1869
289	762	1866
290	764	1862
291	766	1858
292	768	1855
293	771	1852
294	773	1848
295	775	1845
296	778	1841
297	780	1838
298	782	1834
299	784	1831
300	787	1828
301	789	1824
302	792	1821
303	794	1818
304	796	1815
305	798	1811
306	801	1808
307	803	1805
308	805	1802
309	808	1799
310	810	1795
311	813	1793
312	815	1790
313	817	1786
314	820	1783
315	822	1780
316	824	1777
317	827	1774
318	829	1770
319	831	1767
320	834	1764
321	836	1761
322	838	1758
323	841	1754
324	843	1752
325	845	1749
326	848	1746
327	850	1742
328	853	1739
329	855	1736
330	857	1733
331	860	1730
332	862	1727
333	864	1723
334	866	1720
335	869	1717
336	871	1714
337	874	1712
338	876	1709
339	878	1706
340	881	1702
341	883	1700
342	885	1696
343	888	1693
344	890	1690
345	892	1687
346	895	1684
347	897	1682
348	900	1678
349	902	1676
350	905	1673
351	907	1671
352	910	1668
353	912	1664
354	914	1662
355	917	1658
356	919	1655
357	921	1652
358	923	1649
359	926	1646
360	928	1643
361	930	1640
362	932	1637
363	935	1634
364	937	1631
365	940	1628
366	942	1625
367	944	1622
368	947	1619
369	949	1616
370	951	1613
371	953	1610
372	956	1607
373	958	1604
374	961	1601
375	963	1598
376	965	1595
377	968	1592
378	970	1589
379	972	1586
380	974	1583
381	977	1581
382	980	1579
383	982	1576
384	985	1574
385	988	1571
386	990	1569
387	993	1566
388	995	1563
389	998	1561
390	1000	1558
391	1003	1556
392	1005	1553
393	1008	1550
394	1010	1548
395	1013	1545
396	1015	1542
397	1018	1539
398	1020	1537
399	1023	1534
400	1025	1531
401	1028	1529
402	1030	1526
403	1032	1523
404	1035	1520
405	1037	1517
406	1039	1515
407	1042	1512
408	1044	1509
409	1046	1506
410	1049	1504
411	1051	1501
412	1054	1498
413	1056	1495
414	1058	1492
415	1061	1489
416	1063	1487
417	1066	1484
418	1068	1481
419	1070	1478
420	1073	1475
421	1075	1472
422	1077	1469
423	1079	1467
424	1082	1464
425	1084	1461
426	1086	1458
427	1089	1455
428	1091	1452
429	1093	1449
430	1095	1446
431	1098	1443
432	1100	1441
433	1103	1438
434	1105	1435
435	1108	1433
436	1110	1430
437	1112	1427
438	1114	1424
439	1117	1421
440	1119	1419
441	1121	1416
442	1124	1413
443	1126	1410
444	1128	1407
445	1130	1404
446	1133	1402
447	1135	1399
448	1138	1396
449	1140	1393
450	1142	1391
451	1145	1388
452	1147	1385
453	1149	1382
454	1152	1380
455	1154	1377
456	1156	1374
457	1158	1371
458	1161	1368
459	1163	1365
460	1165	1363
461	1168	1360
462	1170	1357
463	1172	1354
464	1175	1352
465	1177	1349
466	1179	1346
467	1182	1343
468	1184	1340
469	1186	1338
470	1188	1335
471	1191	1332
472	1193	1329
473	1196	1327
474	1198	1324
475	1200	1321
476	1202	1318
477	1205	1316
478	1207	1313
479	1210	1311
480	1212	1308
481	1215	1306
482	1217	1303
483	1219	1300
484	1222	1297
485	1224	1295
486	1226	1292
487	1228	1289
488	1231	1286
489	1233	1284
490	1235	1281
491	1238	1278
492	1240	1275
493	1242	1272
494	1245	1270
495	1247	1267
496	1250	1265
497	1252	1262
498	1254	1259
499	1257	1257
500	1259	1254
501	1261	1251
502	1264	1249
503	1266	1246
504	1268	1243
505	1271	1240
506	1273	1238
507	1275	1235
508	1278	1232
509	1280	1230
510	1283	1227
511	1285	1225
512	1287	1222
513	1290	1219
514	1292	1217
515	1294	1214
516	1297	1211
517	1299	1208
518	1301	1206
519	1303	1203
520	1306	1200
521	1308	1198
522	1310	1195
523	1313	1192
524	1315	1190
525	1318	1187
526	1320	1185
527	1322	1182
528	1325	1179
529	1327	1177
530	1329	1174
531	1332	1171
532	1334	1169
533	1336	1166
534	1339	1164
535	1341	1161
536	1343	1158
537	1346	1155
538	1348	1153
539	1350	1150
540	1353	1148
541	1355	1145
542	1357	1142
543	1360	1140
544	1362	1137
545	1364	1134
546	1367	1132
547	1369	1129
548	1371	1126
549	1374	1124
550	1376	1121
551	1378	1118
552	1381	1116
553	1383	1113
554	1385	1111
555	1387	1108
556	1390	1105
557	1392	1103
558	1395	1100
559	1397	1097
560	1399	1095
561	1402	1092
562	1404	1090
563	1406	1087
564	1409	1084
565	1411	1082
566	1413	1079
567	1416	1077
568	1418	1074
569	1420	1071
570	1423	1069
571	1425	1066
572	1428	1064
573	1430	1061
574	1432	1058
575	1434	1056
576	1437	1053
577	1439	1050
578	1441	1048
579	1443	1045
580	1446	1042
581	1448	1040
582	1450	1037
583	1453	1035
584	1455	1032
585	1457	1029
586	1460	1027
587	1462	1024
588	1464	1022
589	1466	1019
590	1469	1016
591	1471	1014
592	1473	1011
593	1476	1009
594	1478	1006
595	1480	1003
596	1483	1001
597	1485	998
598	1488	996
599	1490	993
600	1492	990
601	1494	988
602	1497	985
603	1499	983
604	1501	980
605	1504	978
606	1506	975
607	1509	972
608	1511	970
609	1513	967
610	1516	965
611	1518	962
612	1520	960
613	1523	957
614	1525	955
615	1528	952
616	1530	949
617	1532	947
618	1535	944
619	1537	942
620	1539	939
621	1541	936
622	1543	934
623	1546	931
624	1548	929
625	1551	926
626	1553	924
627	1555	921
628	1557	918
629	1560	916
630	1562	913
631	1564	911
632	1567	908
633	1569	906
634	1571	903
635	1574	901
636	1576	898
637	1578	895
638	1581	893
639	1583	890
640	1586	888
641	1588	885
642	1590	883
643	1593	880
644	1595	878
645	1598	875
646	1600	873
647	1602	870
648	1605	868
649	1607	865
650	1609	862
651	1612	860
652	1614	857
653	1616	855
654	1619	852
655	1621	850
656	1623	847
657	1626	845
658	1628	842
659	1630	840
660	1633	837
661	1635	835
662	1637	832
663	1640	830
664	1642	827
665	1644	824
666	1647	822
667	1649	819
668	1651	817
669	1654	814
670	1656	812
671	1658	809
672	1660	807
673	1663	804
674	1665	801
675	1668	799
676	1670	797
677	1672	794
678	1675	791
679	1677	789
680	1679	786
681	1682	784
682	1684	781
683	1686	779
684	1689	776
685	1691	774
686	1693	771
687	1695	769
688	1698	766
689	1700	763
690	1702	761
691	1705	759
692	1707	756
693	1710	754
694	1712	751
695	1714	749
696	1717	746
697	1719	743
698	1721	741
699	1724	738
700	1726	736
701	1728	733
702	1731	731
703	1733	728
704	1735	726
705	1737	723
706	1740	721
707	1742	718
708	1744	716
709	1747	713
710	1749	711
711	1751	708
712	1754	706
713	1756	703
714	1758	700
715	1760	698
716	1763	695
717	1765	693
718	1767	690
719	1770	688
720	1772	685
721	1774	683
722	1777	680
723	1779	678
724	1781	675
725	1783	673
726	1786	670
727	1788	668
728	1790	665
729	1792	663
730	1795	660
731	1797	658
732	1800	655
733	1802	653
734	1805	650
735	1807	648
736	1809	645
737	1812	643
738	1814	640
739	1816	638
740	1819	635
741	1821	633
742	1824	630
743	1826	628
744	1828	625
745	1831	623
746	1833	620
747	1836	618
748	1838	616
749	1840	613
750	1843	611
751	1845	608
752	1847	606
753	1849	603
754	1852	601
755	1854	598
756	1856	596
757	1859	593
758	1861	590
759	1863	588
760	1865	586
761	1868	583
762	1870	580
763	1872	578
764	1874	575
765	1877	573
766	1879	570
767	1881	568
768	1884	566
769	1886	563
770	1889	561
771	1891	558
772	1893	556
773	1896	553
774	1898	551
775	1900	548
776	1902	546
777	1905	543
778	1907	541
779	1910	538
780	1912	536
781	1915	533
782	1917	531
783	1919	528
784	1921	526
785	1924	523
786	1926	521
787	1928	518
788	1931	516
789	1933	514
790	1936	511
791	1938	509
792	1940	506
793	1942	504
794	1945	501
795	1947	499
796	1949	496
797	1951	494
798	1954	491
799	1956	489
800	1958	486
801	1961	484
802	1964	481
803	1967	479
804	1970	477
805	1974	475
806	1976	472
807	1979	470
808	1982	468
809	1985	465
810	1988	463
811	1991	461
812	1994	458
813	1997	456
814	2000	454
815	2002	451
816	2005	449
817	2007	446
818	2010	444
819	2013	441
820	2015	439
821	2018	437
822	2021	434
823	2023	432
824	2026	429
825	2029	427
826	2031	424
827	2034	422
828	2037	420
829	2039	417
830	2042	415
831	2044	412
832	2047	410
833	2050	408
834	2053	405
835	2055	403
836	2058	400
837	2061	398
838	2063	396
839	2066	393
840	2069	391
841	2072	388
842	2074	386
843	2077	383
844	2080	381
845	2082	379
846	2085	376
847	2088	374
848	2090	371
849	2093	369
850	2096	367
851	2098	364
852	2101	362
853	2103	359
854	2105	357
855	2108	354
856	2111	352
857	2113	349
858	2116	347
859	2119	344
860	2121	342
861	2124	340
862	2127	337
863	2129	335
864	2132	332
865	2135	330
866	2137	327
867	2140	325
868	2143	323
869	2146	320
870	2148	318
871	2151	315
872	2154	313
873	2156	310
874	2159	308
875	2162	306
876	2165	303
877	2167	301
878	2170	298
879	2173	296
880	2177	294
881	2180	291
882	2183	289
883	2186	286
884	2189	284
885	2192	282
886	2194	279
887	2197	277
888	2200	274
889	2203	272
890	2206	269
891	2209	267
892	2212	265
893	2214	262
894	2217	260
895	2220	257
896	2223	255
897	2226	252
898	2228	250
899	2231	247
900	2234	245
901	2236	243
902	2239	240
903	2242	238
904	2244	235
905	2247	233
906	2250	230
907	2252	228
908	2255	225
909	2258	223
910	2260	220
911	2263	218
912	2266	216
913	2269	213
914	2272	211
915	2275	208
916	2278	206
917	2281	203
918	2284	201
919	2287	198
920	2290	196
921	2293	193
922	2295	191
923	2299	189
924	2301	186
925	2304	184
926	2306	181
927	2309	179
928	2312	176
929	2314	174
930	2317	171
931	2319	169
932	2322	166
933	2325	164
934	2328	161
935	2329	159
936	2332	156
937	2334	154
938	2337	151
939	2339	149
940	2342	146
941	2345	144
942	2347	141
943	2350	139
944	2353	136
945	2355	134
946	2358	131
947	2360	129
948	2363	127
949	2366	124
950	2369	122
951	2371	119
952	2374	117
953	2376	114
954	2379	112
955	2381	109
956	2384	107
957	2387	104
958	2389	102
959	2392	99
960	2395	97
961	2397	94
962	2399	92
963	2402	89
964	2405	87
965	2407	84
966	2409	82
967	2412	79
968	2414	77
969	2417	74
970	2419	72
971	2422	69
972	2424	67
973	2427	64
974	2430	62
975	2432	59
976	2435	57
977	2437	54
978	2440	52
979	2442	49
980	2445	47
981	2448	44
982	2450	42
983	2452	39
984	2455	37
985	2458	34
986	2460	32
987	2463	29
988	2465	27
989	2467	24
990	2470	22
991	2472	19
992	2475	17
993	2477	14
994	2480	12
995	2483	9
996	2485	7
997	2488	4
998	2491	2
999	2494	0
